9734482,Warehouse data processing system and method,"A warehouse data processing system including a handheld terminal and a database server, wherein the handheld terminal is connected with the database server, the handheld terminal is used to scan goods information and/or stock location codes, acquire stock data including the goods information and/or the stock location codes from the database server, and perform warehouse data processing on the stock data according to the scanned goods information and/or stock location codes. The warehouse data processing is achieved in a mobile and portable manner by using the handheld terminal to scan goods information and/or stock location codes and performing warehouse data processing on the stock data according to the scanned goods information and/or stock location codes."
9754205,Using classified text or images and deep learning algorithms to identify risk of product defect and provide early warning,"Deep learning is used to identify specific, potential risks to an enterprise (of which product liability is the prime example here) while such risks are still internal electronic communications. The system involves mining and using existing classifications of data (e.g., from an internal litigation database, or from external sources such as customer complaints, and/or warranty claims) to train one or more deep learning algorithms, and then examining the enterprise's internal electronic communications with the trained algorithm, to generate a scored output that will enable enterprise personnel to be alerted to risks and take action in time to prevent the risks from resulting in harm to the enterprise or others."
9697043,Methods and computer systems for performance monitoring of tasks,"Computer system including storage unit and processing unit including performance monitoring unit (PMU) for performance monitoring on tasks is provided. Processing unit is configured to provide a callback function at location at which a task switch is being performed, reset a counter for external access counting of PMU when first task switch which is to switch execution of tasks to first task occurs, read counted value from counter and record read value into a log of storage unit as record of first task when second task switch which is to switch execution of tasks from first task to second task occurs, and reset counter for second task after log is generated. Records of first task in log within a predetermined time period are summed to analyze performance of first task within predetermined time period so as to determine performance of external access of first task for specific event."
9811466,Expedited servicing of store operations in a data processing system,"In at least some embodiments, a processor core generates a store operation by executing a store instruction in an instruction sequence. The store operation is marked as a high priority store operation in response to detecting, in the instruction sequence, a barrier instruction that precedes the store instruction in program order and that includes a field set to indicate the store operation should be accorded high priority and is not so marked otherwise. The store operation is buffered in a store queue associated with a cache memory of the processor core. Handling of the store operation in the store queue is expedited in response to the store operation being marked as a high priority store operation and not expedited otherwise."
9842144,Presenting suggestions for user input based on client device characteristics,"A computer implemented method includes: receiving an incomplete input from a user; presenting a plurality of suggestions to the user for completion of the input, wherein the suggestions are presented in a ranked order based on a characteristic associated with the user terminal; receiving a selection by the user of a suggestion from the suggestions; and completing the input with the suggestion."
9721084,System for controlling access to an account,"An account management server, a communication device and a service device are provided for managing access to an account. The account management server, for example, includes, but is not limited to, a storage device configured to store identifying information for each of a plurality of service devices and configured to store an account associated with each of the plurality of service devices, and a processor communicatively coupled to the storage device, wherein the processor is configured to: receive identifying information from a communication device; identify at least one service device whose stored identifying information matches the received identifying information; and grant management access to the account associated with the identified at least one service device to the communication device."
9823839,"Device, method, and graphical user interface for displaying additional information in response to a user contact","An electronic device, with a touch-sensitive surface and a display, includes one or more sensors to detect intensity of contacts with the touch-sensitive surface. The device detects a contact on the touch-sensitive surface while a focus selector corresponding to the contact is at a respective location on the display associated with additional information not initially displayed on the display. While the focus selector is at the respective location, upon determining that the contact has an intensity above a respective intensity threshold before a predefined delay time has elapsed with the focus selector at the respective location, the device displays the additional information associated with the respective location without waiting until the predefined delay time has elapsed; and upon determining that the contact has an intensity below the respective intensity threshold, the device waits until the predefined delay time has elapsed to display the additional information associated with the respective location."
9711541,Display panel and method for forming an array substrate of a display panel,"The present disclosure provides a display panel and a method for forming an array substrate of a display panel. The display panel includes an array substrate which includes a display region and a frame region. The frame region includes a wire region in which first signal wires are formed. Each of the first signal wires includes a first conductive layer and a second conductive layer which are stacked with each other and electrically connected. As such, to obtain the same resistance value as that in prior art, the first signal wires in the present disclosure can be formed with a reduced width. Therefore, the wire region of the array substrate can have a smaller size, and thus the whole frame region of the display panel can be smaller."
9588654,Integrated learning using multiple devices,"An access code can be generated by a primary device and interpreted by a secondary device for the purpose of presenting, on the secondary device, additional content related to an application running on the primary device. The access code can be a two dimensional graphic or QR code that can be easily captured by a camera unit of the secondary device. Once captured, additional content related to the running application can be identified and displayed on the secondary device."
9805050,Maintaining and updating file system shadows on a local device by a synchronization client of a cloud-based platform,"Systems and methods for maintaining and updating file system shadows by a synchronization client of a cloud-based platform. In some embodiments, an executor of the synchronization client can execute an action on an item in the local file system which changes the state of the item from an old state to a new state. The synchronization client updates the file system shadows with the new state of the item via an interface to facilitate generation of a synchronization event for the change to the item, that would otherwise go undetected if the change to the item was immediately reversed. In some embodiments, methods for providing shadow consistency and enhancing concurrent access to shadows are implemented by the synchronization client in maintaining and updating the file system shadows."
9635438,Providing secondary content to accompany a primary content item,"While a user views a primary content item (for example, a movie on a television screen), secondary content items are selected and presented to the user, either on the same screen or on a screen of the user's companion device. To choose selections that are relevant to the user's current interests, the selection process considers information beyond the realm of primary and secondary content. Over time, the selection process learns to make more relevant selections by monitoring selection choices made by other systems."
9841599,Optical configurations for head-worn see-through displays,"Aspects of the present invention relate to methods and systems for providing a high transmission see-through view of the environment while trapping escaping light from the display system. In embodiments, a camera system is also provided that is aligned with the display system to provide images of the environment in a viewing direction of the user."
