patentnumber,title,abstract
9535739,"Virtual machine storage","Storing data that includes receiving an indication to perform an operation with respect to data associated with a virtual machine storage abstraction; and using a meta information identifying which data stored on a storage system is associated with the virtual machine storage abstraction to perform the requested operation."
9535989,"Systems, methods and computer program products for searching within movies (SWiM)","Systems, methods and computer-readable media process a series of media files into a searchable format. The method includes generating a media database by processing each of a plurality of programs. The steps of the method include extracting a subtitle track from each of the programs, retrieving at least one frame associated with the subtitle track, adding metadata to the extracted subtitle track and at least one frame, processing the subtitle track, program statistics and at least one frame in a media database. Another aspect includes receiving a user query associated with dialog in a program, searching the media database and presenting a listing of results, receiving a user selection or program from their listing and transmitting at least one frame, a portion of associated subtitle track and prompts for ordering the program."
9538229,"Media experience for touch screen devices","A method may include receiving and outputting a selected multimedia stream at a mobile device. It is determined that a user wishes to browse other available multimedia streams. The selected multimedia stream is paused while the user browses the other available multimedia streams. The selected multimedia stream is cached while the user browses the other available multimedia streams. It is determined that the user has finished browsing the other available multimedia streams. The cached multimedia stream is output."
9538985,"Hand-held medical imaging system with improved user interface for deploying on-screen graphical tools and associated apparatuses and methods","A portable ultrasound system having an enhanced user interface is disclosed herein. In one embodiment, a portable ultrasound system can include a hand-held base unit configured to present a graphical user interface that contains a first control area, a second control area, and an active image area. The first control area can have a number of graphical tools that can each be selectively activated by a user's finger. The second control area can include a control area having plurality of controls that can be selectively activated by the user's thumb to select a tool property of a number of tool properties associated with the selected one of the graphical tools. The active image area can display an ultrasound image, and the selected one of the graphical tools can be overlaid onto the image with the user-selected tool property."
9540190,"Methods and apparatus for controlling movement of receptacles","Methods and apparatus for controlling the movement of portable receptacles within a materials handling facility are described. The materials handling facility utilizes at least one linear induction motor (LIM) to move the portable receptacles having conductive elements from a first location to a second location within the facility. The LIMs may be configured such that most, if not all, of the movement of the receptacles is controlled by the application of energy from the LIMs to the conductive elements of the receptacles. This energy may cause the receptacles to move from one LIM to another LIM, where each LIM in sequence can apply force to the receptacle to pass it to the next LIM in the sequence. In some implementations, the portable receptacles are configured such that at least a base portion of the receptacle includes a conductive element to interact with the LIMs, while maintaining an overall light-weight configuration."
9542226,"Operating programs on a computer cluster","A mechanism is provided for operating programs on a computer cluster comprising cluster resources. The cluster resources comprise non-virtual real hardware resources with variable configurations and virtual resources. Each cluster resource has a configuration description and a type. Each type has a unique type identification and descriptions of operations that can be performed by the cluster resource of the each type. Each program is operable for: requesting usage of the cluster resource specifying the type and the configuration description; and requesting a modification of the variable configuration of the non-virtual real hardware resource with the variable configuration. Execution of each program requires the dedicated execution environment on the computer cluster. The generation of each dedicated execution environment requires one or more dedicated virtual resources and one or more dedicated non-virtual real hardware resources with the variable configurations."
9542662,"Lineage information for streaming event data and event lineage graph structures for visualization","Implementations of the present disclosure include methods for providing transparency in streaming event data. In some implementations, methods include receiving a plurality of events, each event comprising event data and being generated by an event source in response to a real-world activity, processing the plurality of events using one or more complex event processing (CEP) rules to generate a complex event, in response to generating the complex event, generating at least one lineage event that comprises lineage information, the lineage information comprising information corresponding to one or more source events, each of the one or more source events contributing to the complex event, and storing the lineage event and the one or more source events in an event archive provided as a computer-readable storage medium."
9544394,"Network resource identification","A system, method and computer-readable medium for client-side processing of resource identifiers. A client request for content is returned that includes information for generating a request for translation information and a number of embedded resource identifiers. Based on the information for generating a request for translation information, the client generates and obtains translation information and processes the embedded resource identifiers to obtain resources from a service provider."
9545567,"Apparatus and method for manipulating a virtual world by utilizing biometric information","An apparatus and method for processing a virtual world. According to certain embodiments of the present disclosure, real-world biometric information on the user may be collected using a bio sensor, and the collected information may be controlled based on the sensor characteristics of the bio sensor, thereby enabling interaction between the real world and the virtual world, as well as between virtual worlds. In addition, an interactive game which is executed in the virtual world on the basis of the collected biometric information may be controlled to thereby produce a virtual world having enhanced realism. Moreover, the real-world health status of a user may be determined and displayed on the basis of the collected biometric information, thereby enabling the health status of the user to be seen."
9547390,"Touch screen display device with in-set signal controller","A touch screen display device is discussed. The device uses common electrodes, which are formed for display images, as touch electrodes. In a display interval, the common electrodes receive a common voltage and allow images to be displayed. In a touch sensing interval corresponding to a non-display interval of a single frame of plural frames, the common electrodes are driven as the touch electrodes and allow a touch position to be sensed. When the touch sensing interval is terminated, the data voltages which had been applied to the data lines before the touch sensing interval are re-applied to the data lines. As such, when a succeeding display interval starts after the touch sensing interval, the reduction of charging voltage in a pixel can be prevented or reduced. Therefore, a picture fault or an image fault can be prevented."
9547501,"Information processing apparatus, storage control apparatus, and computer-readable recording medium having stored program","The information processing apparatus includes a first device which is managed by a first OS, a second device which is managed by a second OS, and a processing unit. The processing unit causes the first OS and the second OS, the first OS to load a first maintenance driver corresponding to the first device, the first maintenance driver to perform maintenance control of the first device, the first OS to load a second maintenance driver corresponding to the second device, and the second maintenance driver to perform maintenance control of the second device. Therefore, it is possible to efficiently achieve the maintenance control of a plurality of devices, each of which is managed by a plurality of operating systems."
